,name,link,link_employer,salary,salary_min,salary_max,salary_cur
22,Ведущий инженер-схемотехник,https://hh.ru/vacancy/46828510?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/145408,от 140000 руб.,140000.0,,руб
23,Инженер-схемотехник,https://hh.ru/vacancy/47034639?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/701926,от 80000 руб.,80000.0,,руб
24,Ведущий инженер - конструктор/схемотехник РЭА,https://hh.ru/vacancy/45598948?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/122070,от 80000 руб.,80000.0,,руб
25,Инженер-схемотехник / Инженер-электронщик,https://hh.ru/vacancy/47041759?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/183068,от 100000 руб.,100000.0,,руб
26,Ведущий инженер-электроник/схемотехник (дочерняя компания),https://hh.ru/vacancy/46928687?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/4406887?dpt=4406887-4406887-office,,,,
27,Ведущий инженер-схемотехник программист,https://hh.ru/vacancy/46514173?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/3534,,,,
28,Ведущий инженер-конструктор (системотехник),https://hh.ru/vacancy/46686060?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1750736,,,,
29,Инженер-схемотехник (радиоэлектронные изделия),https://hh.ru/vacancy/41972998?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/3237,,,,
30,Инженер-схемотехник,https://hh.ru/vacancy/46883675?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/245686,,,,
31,Инженер-схемотехник,https://hh.ru/vacancy/46944621?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1423697,,,,
32,Инженер-схемотехник,https://hh.ru/vacancy/46906005?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/1993194,,,,
33,Инженер-схемотехник,https://hh.ru/vacancy/43337407?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/19648,,,,
34,Инженер-схемотехник,https://hh.ru/vacancy/46906388?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/981,,,,
35,Инженер-схемотехник,https://hh.ru/vacancy/46188750?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/230005,,,,
36,Инженер-конструктор-схемотехник 2 категории,https://hh.ru/vacancy/46894096?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/962966,от 60000 руб.,60000.0,,руб
37,Инженер-схемотехник,https://hh.ru/vacancy/44812985?from=vacancy_search_list&query=%D0%A1%D1%85%D0%B5%D0%BC%D0%BE%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D0%BA,https://www.hh.ru/employer/113656,от 70000 руб.,70000.0,,руб
